name,address,website,phone_number,reviews_count,reviews_average,place_type,opens_at
IndianOil,"No 4793/4678, Lock 1188/122, opposite Flower Market, Koyambedu, Chennai, Tamil Nadu 600107",locator.iocl.com,091766 79924,1831.0,3.9, Closes 11:30pm
"Shell Fuel Station,Koyambedu","Jawaharlal Nehru Salai, Janakiraman Colony, Koyambedu, Chennai, Tamil Nadu 600107",find.shell.com,093600 11911,91.0,3.8,
Zone 8 Lorry Station,"36J9+JM9, 8th Cross St W, Bharathi Puram, Shenoy Nagar, Chennai, Tamil Nadu 600102",chennaicorporation.gov.in,,14.0,3.1,
Hindustan Petroleum Corporation Limited,"48, Saidapet Rd, Sarvamangala Colony, Aruna Colony, Vadapalani, Chennai, Tamil Nadu 600083",petrolpump.hpretail.in,098410 37725,213.0,3.9,
HP PETROL PUMP - SELVAN SERVICE STATION,"No., 25, Arcot Rd, Ottagapalayam, Kannika Puram, Saligramam, Chennai, Tamil Nadu 600093",,098410 37725,375.0,4.0,
Maruthi Agency (BPCL Dealer),"Jawaharlal Nehru Salai, Sector 10, Krupa Colony, Ashok Nagar, Chennai, Tamil Nadu 600083",,089391 00804,1269.0,4.0,
IndianOil,"New No 141, Old No 25 Arumbakkam, Aminjikarai, Puliyur, Chennai, Tamil Nadu 600106",locator.iocl.com,098409 99855,702.0,3.7,
GoGas Auto Gas station,"6, 32, Arunachalam Rd, Pushpa Colony, Saligramam, Chennai, Tamil Nadu 600093",,,14.0,2.9,
"Bharat Petroleum, Petrol Pump - Sri Krishna Service Station","Kovilpathagai, Trustpuram, Kodambakkam, Avadi, Chennai, Tamil Nadu 600062",,,900.0,4.1,
Bharat petroleum & CNG,"BHARTH PETROL PUMP, 3 A, 2nd St, K K Nagar, KK Nagar West, Nesapakkam, Chennai, Tamil Nadu 600078",anandpalanivel.com,,893.0,3.9,Open 24 hours
Auto gas Vadapalani,"336/241, SH 113, Vadapalani, Chennai, Tamil Nadu 600026",,,,,
"Bharat Petroleum, Petrol Pump -Uma Service Station","KODAMBAKKAM (OPP MEENAKSHI, Tamil Nadu 600024",,044 2375 0099,858.0,3.9,
IndianOil,"Lock No 1008, No 105, 1212, Dr Ambedkar Rd, Kodambakkam, Chennai, Tamil Nadu 600024",locator.iocl.com,093845 65656,396.0,3.8, Closes 10pm
IndianOil,"S No 197, 1Ab2 & 1B2B, 80 Feet Road, Vijayaraghavapuram, Saligramam, Chennai, Tamil Nadu 600093",locator.iocl.com,097899 97949,38.0,3.9, Closes 10pm
IndianOil,"No 4793/4678, Lock 1188/122, opposite Flower Market, Koyambedu, Chennai, Tamil Nadu 600107",locator.iocl.com,091766 79924,1831.0,3.9, Closes 11:30pm
